a,"n.(A)As 或 A's  安(ampere);(a) art.一;n.字母A /[军] Analog.Digital,模拟/数字 /(=account of) 帐上"
abandon,"vt.放弃,遗弃;n.放任,狂热"
abas,vt.打倒
abash,"vt.使局促不安,使困窘"
abate,"vt.使(数量、程度等)减少,减轻,除去,缓和,打折扣vi.(数量、程度等)减少,减轻,失效,缓和,(法令等)被废除"
abduct,"vt.诱拐,绑架"
abet,"vt.教唆,煽动,帮助,支持"
abhor,"vt.憎恶,痛恨"
abide,"vi.坚持,遵守;vt.忍受,容忍"
abirritate,"vt.减轻刺激,缓和"
abjure,"vt.发誓放弃,避免,公开放弃"
abolish,"vt.废止,废除(法律、制度、习俗等)"
abominate,"vt.痛恨,憎恶"
abreact,"vt.使消散,发泄(被压抑的情感等)"
abrogate,"vt.废除,取消"
abscind,"vt.切断,切除,割断"
abscise,"vt.切除vi.被切除,脱离"
absent,"adj.不在的,缺席的,缺少的;vt.缺席"
absorb,"vt.吸收,吸引"
absterge,"vt.去垢,擦去"
abstract,"n.摘要,概要,抽象;adj.抽象的,深奥的,理论的;vt.摘要,提炼,抽象化"
accept,"vt.接受,认可,承担,承兑vi.同意,承认"
access,"n.通路,访问,入门vt.存取,接近"
accessorize,"vt.装饰,补充vi.穿戴装饰品"
acclimate,"vt.使适应新环境,使服水土vi.服水土,适应"
acclimatize,"vt.使适应(或习惯)新环境(或气候等),使服水土"
accommodate,"vt.供应,供给,使适应,调节,和解,向...提供,容纳,调和;vi.适应"
accompany,"vt.陪伴,伴奏"
accomplish,"vt.完成,达到,实现"
accord,"n.一致,符合,调和,协定;vt.一致,给与;vi.符合"
accost,"vt.对...说话,搭话"
account,"n.计算,帐目,说明,估计,理由;vi.说明,总计有,认为,得分;vt.认为"
accouter,"vt.供以服装,供以军用品,装备"
accoutre,"vt.供以服装,供以军用品,装备"
accredit,"vt.信任,授权,归于"
accrete,"vi.共生,合生,附着;vt.使依附,使连接;adj.共生的"
acculturate,vi.适应文化;vt.使适应文化
accuse,"vt.控告,谴责,非难"
accustom,vt.使习惯于
acerbate,"vt.使发怒,使烦恼;adj.恼怒的"
achieve,"vt.完成,达到"
achromatize,"vt.使消色,使无色"
acidify,"vt.使酸化,使成酸;vi.变酸"
acidulate,"vt.使酸化,使尖刻"
acknowledge,"vt.承认,答谢,报偿"
acquaint,"vt.使熟知,通知"
acquire,"vt.获得,学到"
acquit,"vt.宣告无罪,脱卸义务和责任,还清(债务)"
act,"n.幕,法案,法令,动作,举动,节目,(戏剧的)幕vi.行动,产生...的效果,担当,表演,假装,表现,见效vt.扮演,装作"
action,"n.动作,作用,战斗,行动,举动,行为,(戏剧或书中)的情节,(某一地区、领域或团体中)最能产生效果、最有趣、最有刺激性的活动vt.对...起诉"
activize,vt.激起
actualize,"vt.实现,实施"
actuate,"vt.开动,促使"
acuminate,"adj.锐利的,尖形的vt.使尖锐"
adapt,"vt.使适应,改编"
add,"vt.增加,添加,计算...总和,补充说,又说;vi.加,加起来,增添,做加法"
addict,"vt.使沉溺,使上瘾;n.入迷的人,有瘾的人"
addle,"vt.使腐坏,使糊涂adj.腐坏的"
address,"n.地址,致辞,演讲,说话的技巧vt.向...致辞,演说,写姓名地址,从事,忙于"
adduce,"vt.引证,举出(例证、理由、证据)"
adduct,vt.[生理]使内收;n.[化]加合物
adjourn,"vi.延期,休会,换另一 个地方vt.使中止,推迟"
adjudge,"vt.宣判,判决,把...判给,认为"
adjure,"vt.起誓,恳请,(以起誓或诅咒等形式)命令"
adjust,"vt.调整,调节,校准,使适合"
admeasure,"vt.分配,配给"
administrate,"vt.管理,支配"
admix,vt.使混合vi.混合
admonish,"vt.劝告,训诫,警告"
adopt,"vt.采用,收养"
adrenalize,"vt.刺激,使兴奋,使激动"
adsorb,vt.吸附vi.被吸附
adulate,"vt.奉承,谄媚,奉承"
adulterate,"vt.掺杂adj.掺假的,通奸的"
adumbrate,"vt.画轮廓,预示"
advect,vt.用平流输送
advertize,"vt.做广告,通知vi.做广告"
advise,"vt.劝告,忠告,警告,建议"
advocate,"n.提倡者,鼓吹者vt.提倡,鼓吹"
aerate,"vt.使暴露于空气中,使充满气体"
aerify,"vt.在...注入空气,掺气于,使气化,使蒸发"
affect,"vt.影响,感动,侵袭,假装"
affiance,"n.信托,婚约vt.使订婚"
affix,"vt.使附于,粘贴n.[语]词缀"
afflict,"vt.使痛苦,折磨"
afford,"vt.提供,给予,供应得起,"
afforest,vt.造林于
affranchise,"vt.恢复自由,释放"
affright,vt.惊吓n.恐怖
affront,"n.公开侮辱,轻蔑vt.公开侮辱,冒犯,面对"
agenize,vt.用埃净(Agene)漂白(面粉)
agglomerate,"n.大团,大块adj.成块的,凝聚的vt.使成团,使成块,使凝聚vi.成团,成块,凝聚"
agglutinate,"adj.粘着的,胶合的vt.使...粘着vi.成胶状,粘合"
aggrandize,"vt.增加,夸大"
aggravate,"vt.使恶化,加重"
aggrieve,"vt.令委屈,令苦恼,侵害"
agonize,"vt.使极度痛苦,折磨vi.感到极度痛苦"
