a,"n.(A)As 或 A's  安(ampere);(a) art.一;n.字母A /[军] Analog.Digital,模拟/数字 /(=account of) 帐上"
aah,"[军]Armored Artillery Howitzer,装甲榴弹炮;[军]Advanced Attack Helicopter,先进攻击直升机"
aback,adv.向后地
abaft,adv.向船尾;prep.在...后
abask,adv.暖洋洋地
abeam,adv.adj.与船的龙骨成直角
abed,"adv.在床上,卧病在床"
abegging,adj.[一般作表语] &adv.无人问津的(地)
abidingly,"adv.永久地,不变地"
abjectly,"adv.悲惨地,卑鄙地"
ablare,"adj.喧闹的;adv.喧哗地,吵闹地"
ablaze,"adj.adv.着火的,激动的,闪耀的"
ablins,"adv.<苏>也许,大概"
abloom,adv.开花;adj.开花的
ablush,adj.(因羞愧、窘迫等而)脸红的adv.脸红
ably,"adv.能干地,巧妙地"
aboard,"adv.在船(飞机、车)上,上船(飞机、车) prep.在(船、飞机、车)上,上(船、飞机、车)"
aboil,"adj.沸腾的,激烈的;adv.沸腾着"
abominably,"adv.可恶地,可恨地,极端地"
aborad,"adv.离口侧,对口侧"
aborally,"adv.离口地,对口地"
aboriginally,"adv.从最初,原来"
abortively,"adv.流产地,失败地"
about,"adv.附近,大约,转向,左右,周围;prep.在附近,关于,在...周围,忙于"
above,"adj.上面的,上述的,上文的;adv.在上面;prep.在...上方,过于,超出"
aboveground,"adv.在地上,未被埋葬地,活着"
abovestairs,"n.主卧房,楼上房间;adj.在楼上的adv.在楼上"
abreast,"adv.并肩地,并排地"
abrim,adv.充满着
abroach,adv.开个口使水流出;adj.开口的
abroad,"adv.往国外,到处,海外,广泛,差得远,心里没有谱"
abruptly,"adv.突然地,唐突地"
absently,"adv.心不在焉地,茫然地"
absentmindedly,adv.茫然地
absolutely,"adv.完全地,绝对地"
absorbedly,adv.专心致志地
absorbingly,"adv.引人入胜地,非常有趣地"
abstemiously,"adv.有节制地,适度地"
abstractively,"adv.抽象地,抽象性地"
abstractly,"adv.抽象地,理论上地"
abstrusely,"adv.难解地,深奥地"
absurdly,"adv.荒谬地, 悖理地, 愚蠢地"
abundantly,adv.丰富地
abusively,"adv.咒骂地,滥用地"
academically,"adv.学术上,学理上"
accelerando,adj.[乐]渐速的adv.[乐]渐速地n.[乐]渐速音
acceptably,adv.可以接受地
accessibly,"adv.可接近地,可亲地,"
accessorily,"adv.附从地,附属地"
accidentally,"adv.偶然地,意外地"
accidently,adv.=accidentally
according,adv.依照
accordingly,"adv.因此,从而"
accountably,"adv.可辩解地,可说明地"
accurately,"adv.正确地,精确地"
accusingly,adv.责难地
acidly,"adv.不悦地,心地不良地"
acknowledgedly,adv.公认地
acock,"adv.边翻卷地,歪斜着"
acoustically,"adv.听觉上,声学上"
acpi,"Advanced Configuration and Power Interface,高级配置与电源接口"
acquiescently,"adv.默认地,顺从地"
acquisitively,"adv.贪得无厌地,能获得并保留地"
acrimoniously,"adv.毒辣地,尖刻地"
acronically,allyadv.
across,"adv.横过,交叉地,在对面 prep.越过,交叉,在...的那边,在...对面那边"
acs,"American Chemical Society,美国化学学会;Advance Communications Service,高级通讯服务"
actively,"adv.活跃地,积极地"
actually,"adv.实际上,事实上,竟然,居然,如今"
acutely,"adv.尖锐地,剧烈地"
adagietto,adj.更缓慢的adv.更缓慢地
adagio,adv.缓慢地adj.缓慢的;n.[音乐]柔板
adagissimo,adj.很慢的adv.很慢地
adas,Agricultural Development and Advisory Service(英国)农业发展与咨询服务处
additionally,"adv.加之,又"
adequately,adv.充分地
adhesively,"adv.黏附地,胶着地"
adjectivally,"adv.形容词般地,作形容词用地"
admirably,"adv.极好地,美好地"
admiringly,"adv.钦佩地,羡慕地"
admittedly,"adv.公认地,诚然,无可否认的"
adn,"Advanced Digital Network,高级数字网络"
ado,"n.纷扰,忙乱;Advanced Development Objective,高级发展目标;ActiveX Data Objects,ActiveX数据对象"
adorably,adv.崇拜
adoringly,"adv.崇拜地,敬慕地"
adown,"adv.prep.向下,朝下"
adoze,adv.& [一般作表语]adj.在瞌睡中(的)
adrift,"adv.漂浮着,随波逐流地adj.漂泊的"
adroitly,"adv.熟练地,敏捷地"
adultly,"adv.少年老成者,老成持重的"
adusk,adj.在黑暗中的adv.在黑暗中
advantageously,"adv.有利地,方便地"
